ItemPath;correctSentence;sentence1;sentence2;sentence3;sentence4
Satz_Bsp1_Tischdecke_Vase.jpg;Auf der Tischdecke ist eine Vase.;Auf der Tischdecke ist eine Vase.;Auf der Vase ist eine Tischdecke.;Auf der Tischdecke ist eine Schüssel.;Auf der Vase ist eine Schüssel.;
Satz_Bsp2_wandern_Wald.jpg;Der Wanderer marschiert mit seinem Rucksack in den Wald.;Der Wanderer kriecht mit seinen Rucksäcken in den Wald.;Der Wanderer kriecht mit seinem Rucksack in den Wald.;Der Wanderer marschiert mit seinen Rucksäcken in den Wald.;Der Wanderer marschiert mit seinem Rucksack in den Wald.;
Satz_Item1_Gaeste_oeffnen.jpg;Die Frau öffnet den Gästen die Tür.;Die Gäste öffnen der Frau die Tür.;Die Gäste öffnen der Frau das Fenster.;Die Frau öffnet den Gästen das Fenster.;Die Frau öffnet den Gästen die Tür.;
Satz_Item2_Schildkroete_spazieren.jpg;Das Mädchen geht mit der Schildkröte, aber nicht mit dem Hund spazieren.;Das Mädchen geht nicht mit der Schildkröte, aber mit dem Hund spazieren.;Das Mädchen geht mit der Schildkröte, aber nicht mit dem Hund spazieren.;Das Mädchen geht nicht mit der Katze, aber mit dem Hund spazieren.;Das Mädchen geht mit der Katze, aber nicht mit dem Hund spazieren.;
Satz_Item3_Schneemann_schieben.jpg;Der Schneemann wird vom Mädchen geschoben.;Der Schneemann schiebt das Mädchen.;Der Schneemann wird vom Mädchen geschoben.;Der Schneelöwe wird vom Mädchen geschoben.;Der Schneelöwe schiebt das Mädchen.;
Satz_Item4_Vogel_Schaukel.jpg;Der Vogel sitzt auf einer Schaukel.;Die Vögel sitzen auf einer Treppe.;Der Vogel sitzt auf einer Treppe.;Der Vogel sitzt auf einer Schaukel.;Die Vögel sitzen auf einer Schaukel.;
Satz_Item5_Mann_zeigen.jpg;Das Mädchen zeigt dem Mann gerade etwas.;Das Mädchen zeigt dem Mann gerade etwas.;Der Mann zeigt dem Mädchen gerade etwas.;Der Mann kauft dem Mädchen gerade etwas.;Das Mädchen kauft dem Mann gerade etwas.;
Satz_Item6_Pirat_feiern.jpg;Der Pirat klatscht in die Hände, während die Prinzessin und der Clown tanzen.;Der Pirat klatscht in die Hände, nachdem die Prinzessin und der Clown fertig getanzt haben.;Der Pirat klatscht sich auf die Knie, nachdem die Prinzessin und der Clown fertig getanzt haben.;Der Pirat klatscht sich auf die Knie, während die Prinzessin und der Clown tanzen.;Der Pirat klatscht in die Hände, während die Prinzessin und der Clown tanzen.;
Satz_Item7_Weihnachtsbaum_schmuecken.jpg;Mit der Weihnachtskugel schmückt der Junge den Weihnachtsbaum.;Mit dem Weihnachtsbaum schmückt der Junge die Weihnachtskugel.;Mit der Weihnachtskugel schmückt der Junge den Weihnachtsmann.;Mit dem Weihnachtsbaum schmückt der Junge den Weihnachtsmann.;Mit der Weihnachtskugel schmückt der Junge den Weihnachtsbaum.;
Satz_Item8_Schneemann_neben.jpg;Der Junge hat einen Schneemann gebaut.;Der Junge hat eine Sandburg gebaut.;Der Junge baut gerade einen Schneemann.;Der Junge baut gerade eine Sandburg.;Der Junge hat einen Schneemann gebaut.;
Satz_Item9_Teppich_Zimmer.jpg;Der Teppich ist zwischen dem Bett und dem Tisch.;Der Tisch ist zwischen dem Bett und dem Teppich.;Der Tisch ist auf dem Bett und dem Teppich.;Der Teppich ist zwischen dem Bett und dem Tisch.;Der Teppich ist auf dem Bett und dem Tisch.
Satz_Item10_Spiegel_zerbrochen.jpg;Der Spiegel ist hinuntergefallen.;Der Spiegel wird hinunterspringen.;Der Spiegel ist hinuntergefallen.;Der Spiegel wird hinunterfallen.;Der Spiegel ist hinuntergesprungen.
Satz_Item11_Schranktuer_Schrank.jpg;Eine Schranktür ist offen, deshalb sieht man die Kleidung.;Eine Schranktür ist offen, deshalb sieht man die Kleidung nicht.;Eine Lade ist offen, deshalb sieht man die Kleidung.;Eine Lade ist offen, deshalb sieht man die Kleidung nicht.;Eine Schranktür ist offen, deshalb sieht man die Kleidung.;
Satz_Item12_Kleiderbuegel_Uniform.jpg;Die Kleiderbügel hängen an einer Kleiderstange.;Die Kleiderbügel hängen an einer Kleiderstange.;Die Schuhe hängen an einer Kleiderstange.;Die Kleiderstange hängt an den Kleiderbügeln.;Die Schuhe hängen an den Kleiderbügeln.
Satz_Item13_Wanne_Schaum.jpg;Das Kind badet in der Wanne, aber die Ente badet nicht mit.;Die Ente badet in der Wanne, aber das Kind badet nicht mit.;Das Kind duscht in der Wanne, aber die Ente duscht nicht mit.;Die Ente duscht in der Wanne, aber das Kind duscht nicht mit.;Das Kind badet in der Wanne, aber die Ente badet nicht mit.;
Satz_Item14_Blume_Riss.jpg;Die Blume ist schon umgeknickt.;Die Vase wird erst umknicken.;Die Blume wird erst umknicken.;Die Blume ist schon umgeknickt.;Die Vase ist schon umgeknickt.;
Satz_Item15_Achterbahn_Vergnuegen.jpg;Während die Kinder mit der Achterbahn fahren, freuen sie sich.;Nachdem die Kinder mit dem Lift gefahren sind, freuen sie sich.;Nachdem die Kinder mit der Achterbahn gefahren sind, freuen sie sich.;Während die Kinder mit der Achterbahn fahren, freuen sie sich.;Während die Kinder mit dem Lift fahren, freuen sie sich.;
Satz_Item16_Wasser_pumpen.jpg;Das Wasser fließt in den Eimer.;Das Wasser bröselt in die Eimer.;Das Wasser bröselt in den Eimer.;Das Wasser fließt in die Eimer.;Das Wasser fließt in den Eimer.;
